citizenid,total_property_owned,years_at_current_address,zipcode,address
99610,1,4,80940,"6594 Angela Ways, Carterport, SC 80940"
22456,1,6,89151,"454 Dickerson Crescent, Robertsville, SC 89151"
63403,1,10,68859,"9599 Green Garden Apt. 285, Heatherport, AR 68859"
72905,9,10,63786,"158 Sanchez Crest Apt. 132, Carrieside, WI 63786"
76339,1,3,25042,"563 Gloria Field Apt. 297, Jenningsmouth, CT 25042"
11966,3,6,69444,"8615 Madison Mall Apt. 102, Perezstad, IN 69444"
98332,1,10,97541,"314 Perry Village, Lake Charles, DE 97541"
18341,1,7,23174,"5624 Ray Isle, Ashleyville, NY 23174"
90680,0,1,91712,"510 Martinez Fords Suite 503, West Steven, PA 91712"
16606,1,7,9923,"9245 Brandon Club Apt. 115, Millermouth, MT 09923"
33822,1,8,74824,"069 Kirk Expressway Apt. 420, New Garyside, GA 74824"
78966,1,5,14902,"58540 Leon Junction, Savannahborough, IL 14902"
65136,4,10,9392,"USCGC Jenkins, FPO AE 09392"
49375,1,4,96311,"36878 Dustin Via Suite 952, Madisonton, MI 96311"
70239,1,6,42897,"0509 Timothy Ranch, New Richardstad, WI 42897"
73325,4,10,58046,"11635 Sutton Inlet, North Stevenstad, CO 58046"
39660,1,6,77524,"7478 Vincent Greens, Warrenview, RI 77524"
30475,9,8,71841,"7651 Myers Plaza Apt. 572, Bruceburgh, WY 71841"
57943,1,5,47108,"27864 Garcia Mountains Apt. 300, Port Adamview, TN 47108"
96435,1,6,89013,"660 Stuart Manors, Carriefort, NY 89013"
92392,1,6,92281,"30727 Christopher Inlet Apt. 745, Lake Mitchellport, TN 92281"
28093,1,6,72839,"7469 Lisa Burgs, Lake Danielle, ND 72839"
44534,1,7,42794,"930 Jerry Island Apt. 283, Justinton, DE 42794"
34954,2,9,79905,"852 Mccarthy Village Apt. 153, Dickersonview, SC 79905"
20365,5,5,82494,"895 Jill Locks Suite 309, Kathrynberg, NJ 82494"
50550,1,6,97731,"60420 Tyler Manors Suite 356, Bonniestad, HI 97731"
21746,1,6,79453,"5749 York Camp, West Jason, OR 79453"
73096,1,9,60233,"6242 Phelps Port Suite 844, Tylerport, OK 60233"
36135,1,9,70407,"6441 Hammond Island Suite 743, North Johnathan, TX 70407"
71241,1,7,31880,"759 Robinson Streets Suite 155, Timothymouth, HI 31880"
82481,1,6,3197,"439 Holly Court Suite 188, Codyburgh, TX 03197"
24664,2,10,53309,"56405 Sarah Flats, Ericberg, UT 53309"
23943,3,9,7364,"2019 Rodriguez Parks, North Robert, SD 07364"
15711,1,7,18704,"411 Williams Gardens Suite 960, Sheilaborough, IN 18704"
60980,1,8,46546,"Unit 9943 Box 3394, DPO AA 46546"
37753,1,7,91340,"8405 Bright Villages, Jonathanmouth, WV 91340"
14199,4,5,21784,"190 Joel Heights, Jacksonville, PA 21784"
77898,1,6,95006,"2998 Tiffany Harbor Suite 340, Rayside, NJ 95006"
82360,1,5,56432,"6705 Stanley Road Apt. 974, South Charlotteberg, NH 56432"
33561,3,9,13364,"69088 Miller Shoal Apt. 497, Fieldston, MO 13364"
34724,9,6,5997,"099 Johnson Way, Burnsborough, WI 05997"
39261,1,8,83951,"12313 Stone Mill, Stephentown, NC 83951"
19146,1,6,2320,"181 Edward Stream Apt. 274, New Timothyhaven, MA 02320"
71712,1,7,4070,"9834 Richardson View Suite 396, Nelsonshire, MA 04070"
36217,1,8,23275,"168 Adams Stravenue, Port Sandraland, OK 23275"
36969,1,6,75187,"897 Hammond Mews Suite 772, Robertstad, ID 75187"
50859,1,9,77668,"4940 Lindsay Route, Ryantown, KS 77668"
43480,7,8,16003,"Unit 5158 Box 7503, DPO AE 16003"
